FILE,BAND,FWHM
KiDS_DR2.0_136.0_-1.5_g_sci.fits,g,1.0476111
KiDS_DR2.0_136.0_1.5_g_sci.fits,g,0.7308591
KiDS_DR2.0_136.0_-1.5_i_sci.fits,i,1.0401684
KiDS_DR2.0_136.0_1.5_i_sci.fits,i,0.7826366
KiDS_DR2.0_136.0_-1.5_r_sci.fits,r,0.6428697
KiDS_DR2.0_136.0_1.5_r_sci.fits,r,0.805857
KiDS_DR2.0_136.0_-1.5_u_sci.fits,u,1.0306671
KiDS_DR2.0_136.0_1.5_u_sci.fits,u,1.1647569
KiDS_DR2.0_136.4_2.5_g_sci.fits,g,0.7855009
KiDS_DR2.0_136.4_2.5_i_sci.fits,i,0.6793618
KiDS_DR2.0_136.4_2.5_r_sci.fits,r,0.5869072
KiDS_DR2.0_136.4_2.5_u_sci.fits,u,0.9416982
KiDS_DR2.0_137.0_-0.5_g_sci.fits,g,1.0211815
KiDS_DR2.0_137.0_-0.5_i_sci.fits,i,0.6840683
KiDS_DR2.0_137.0_-0.5_r_sci.fits,r,0.6419996
KiDS_DR2.0_137.0_-0.5_u_sci.fits,u,1.0051974
KiDS_DR2.0_139.0_-0.5_g_sci.fits,g,0.8699624
KiDS_DR2.0_139.0_0.5_g_sci.fits,g,0.8496356
KiDS_DR2.0_139.0_-0.5_i_sci.fits,i,0.6022937
KiDS_DR2.0_139.0_0.5_i_sci.fits,i,0.6539291
KiDS_DR2.0_139.0_-0.5_r_sci.fits,r,0.6650459
KiDS_DR2.0_139.0_0.5_r_sci.fits,r,0.8043559
KiDS_DR2.0_139.0_-0.5_u_sci.fits,u,0.9732135
KiDS_DR2.0_139.0_0.5_u_sci.fits,u,0.9896571
KiDS_DR2.0_139.0_1.5_g_sci.fits,g,0.6380037
KiDS_DR2.0_139.0_1.5_i_sci.fits,i,0.6690363
KiDS_DR2.0_139.0_1.5_r_sci.fits,r,0.9014953
KiDS_DR2.0_139.0_1.5_u_sci.fits,u,0.9808105
KiDS_DR2.0_139.4_2.5_g_sci.fits,g,1.0021313
KiDS_DR2.0_139.4_2.5_i_sci.fits,i,0.5193646
KiDS_DR2.0_139.4_2.5_r_sci.fits,r,0.7905188
KiDS_DR2.0_139.4_2.5_u_sci.fits,u,1.0971794
KiDS_DR2.0_140.0_-0.5_g_sci.fits,g,0.8890641
KiDS_DR2.0_140.0_-0.5_i_sci.fits,i,0.5586068
KiDS_DR2.0_140.0_-0.5_r_sci.fits,r,0.8335723
KiDS_DR2.0_140.0_-0.5_u_sci.fits,u,0.9123999
KiDS_DR2.0_140.0_-1.5_g_sci.fits,g,0.7992427
KiDS_DR2.0_140.0_1.5_g_sci.fits,g,0.8149966
KiDS_DR2.0_140.0_-1.5_i_sci.fits,i,0.9501435
KiDS_DR2.0_140.0_1.5_i_sci.fits,i,0.7625011
KiDS_DR2.0_140.0_-1.5_r_sci.fits,r,0.5667858
KiDS_DR2.0_140.0_1.5_r_sci.fits,r,0.5721952
KiDS_DR2.0_140.0_-1.5_u_sci.fits,u,1.1267932
KiDS_DR2.0_140.0_1.5_u_sci.fits,u,1.0457814
KiDS_DR2.0_141.0_-0.5_g_sci.fits,g,0.7619568
KiDS_DR2.0_141.0_-0.5_i_sci.fits,i,0.700839
KiDS_DR2.0_141.0_-0.5_r_sci.fits,r,0.8269321
KiDS_DR2.0_141.0_-0.5_u_sci.fits,u,0.9476946
KiDS_DR2.0_141.0_-1.5_g_sci.fits,g,0.7613737
KiDS_DR2.0_141.0_1.5_g_sci.fits,g,1.0331377
KiDS_DR2.0_141.0_-1.5_i_sci.fits,i,0.6913961
KiDS_DR2.0_141.0_1.5_i_sci.fits,i,0.7164988
KiDS_DR2.0_141.0_-1.5_r_sci.fits,r,0.5776195
KiDS_DR2.0_141.0_1.5_r_sci.fits,r,0.8559006
KiDS_DR2.0_141.0_-1.5_u_sci.fits,u,1.1110434
KiDS_DR2.0_141.0_1.5_u_sci.fits,u,1.0393504
KiDS_DR2.0_172.0_-0.5_g_sci.fits,g,1.0164933
KiDS_DR2.0_172.0_-0.5_i_sci.fits,i,1.1512708
KiDS_DR2.0_172.0_-0.5_r_sci.fits,r,0.5238267
KiDS_DR2.0_172.0_-0.5_u_sci.fits,u,0.8939745
KiDS_DR2.0_172.0_-1.5_g_sci.fits,g,0.7672188
KiDS_DR2.0_172.0_-1.5_i_sci.fits,i,0.522839
KiDS_DR2.0_172.0_-1.5_r_sci.fits,r,0.5278295
KiDS_DR2.0_172.0_-1.5_u_sci.fits,u,1.1218601
KiDS_DR2.0_174.0_0.5_g_sci.fits,g,0.6714971
KiDS_DR2.0_174.0_0.5_i_sci.fits,i,0.6598898
KiDS_DR2.0_174.0_0.5_r_sci.fits,r,0.7421983
KiDS_DR2.0_174.0_0.5_u_sci.fits,u,1.0590204
KiDS_DR2.0_175.0_-0.5_g_sci.fits,g,0.7288127
KiDS_DR2.0_175.0_-0.5_i_sci.fits,i,0.8808413
KiDS_DR2.0_175.0_-0.5_r_sci.fits,r,0.688257
KiDS_DR2.0_175.0_-0.5_u_sci.fits,u,1.1466149
KiDS_DR2.0_176.0_1.5_g_sci.fits,g,0.706622
KiDS_DR2.0_176.0_1.5_i_sci.fits,i,0.6194847
KiDS_DR2.0_176.0_1.5_r_sci.fits,r,0.6204533
KiDS_DR2.0_176.0_1.5_u_sci.fits,u,1.150132
KiDS_DR2.0_177.0_-0.5_g_sci.fits,g,0.893475
KiDS_DR2.0_177.0_0.5_g_sci.fits,g,0.8599263
KiDS_DR2.0_177.0_-0.5_i_sci.fits,i,1.0037372
KiDS_DR2.0_177.0_0.5_i_sci.fits,i,0.980783
KiDS_DR2.0_177.0_-0.5_r_sci.fits,r,0.7670856
KiDS_DR2.0_177.0_0.5_r_sci.fits,r,0.5781304
KiDS_DR2.0_177.0_-0.5_u_sci.fits,u,1.1341708
KiDS_DR2.0_177.0_0.5_u_sci.fits,u,1.0871806
KiDS_DR2.0_178.0_-0.5_g_sci.fits,g,1.0063575
KiDS_DR2.0_178.0_-0.5_i_sci.fits,i,0.8747007
KiDS_DR2.0_178.0_-0.5_r_sci.fits,r,0.5340678
KiDS_DR2.0_178.0_-0.5_u_sci.fits,u,1.0536674
KiDS_DR2.0_178.0_1.5_g_sci.fits,g,1.1913402
KiDS_DR2.0_178.0_1.5_i_sci.fits,i,0.9059248
KiDS_DR2.0_178.0_1.5_r_sci.fits,r,0.8749905
KiDS_DR2.0_178.0_1.5_u_sci.fits,u,0.8632681
KiDS_DR2.0_179.0_-0.5_g_sci.fits,g,0.7173284
KiDS_DR2.0_179.0_0.5_g_sci.fits,g,0.9220368
KiDS_DR2.0_179.0_-0.5_i_sci.fits,i,1.2051664
KiDS_DR2.0_179.0_0.5_i_sci.fits,i,0.7121066
KiDS_DR2.0_179.0_-0.5_r_sci.fits,r,0.625549
KiDS_DR2.0_179.0_0.5_r_sci.fits,r,0.5708338
KiDS_DR2.0_179.0_-0.5_u_sci.fits,u,1.1370711
KiDS_DR2.0_179.0_0.5_u_sci.fits,u,1.018831
KiDS_DR2.0_179.0_1.5_g_sci.fits,g,0.6720528
KiDS_DR2.0_179.0_1.5_i_sci.fits,i,0.7903564
KiDS_DR2.0_179.0_1.5_r_sci.fits,r,0.6245349
KiDS_DR2.0_179.0_1.5_u_sci.fits,u,1.0154069
KiDS_DR2.0_180.0_-1.5_g_sci.fits,g,0.6948011
KiDS_DR2.0_180.0_1.5_g_sci.fits,g,1.0396555
KiDS_DR2.0_180.0_-1.5_i_sci.fits,i,0.7631384
KiDS_DR2.0_180.0_1.5_i_sci.fits,i,0.9741879
KiDS_DR2.0_180.0_-1.5_r_sci.fits,r,0.9139103
